a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,centroid_long,centroid_lat,area_sq_m
0.0429,0,DA,392,378,59170178,590,59170178,5917,5917034,9350007.0,59935,-123.33024212148003,48.42740502523815,5.2216862855664436e-06
0.0396,0,DA,381,365,59170177,539,59170177,5917,5917034,9350007.0,59935,-123.33285755527982,48.427391027713504,4.815237785861829e-06
0.1353,0,DA,785,761,59170612,1279,59170612,5917,5917034,9350007.0,59935,-123.33735590431033,48.42765270015022,1.6389993562789888e-05
0.1129,0,DA,264,246,59170174,520,59170174,5917,5917034,9350008.0,59935,-123.34255809963531,48.42833581978124,1.3749515074507885e-05
0.0969,0,DA,324,311,59170170,523,59170170,5917,5917034,9350008.0,59935,-123.34747370721446,48.42467524932104,1.1778696597358394e-05
0.0816,0,DA,1011,912,59170164,1404,59170164,5917,5917034,9350010.03,59935,-123.3550856797815,48.425246887348905,9.914647355074755e-06
0.0789,0,DA,877,678,59170163,1071,59170163,5917,5917034,9350010.03,59935,-123.35790339895345,48.42555796772075,9.605798795273549e-06
0.0766,0,DA,461,355,59170166,593,59170166,5917,5917034,9350008.0,59935,-123.35102813402713,48.42568706460706,9.251424420830632e-06
0.0802,0,DA,1023,884,59170815,1274,59170815,5917,5917034,9350010.03,59935,-123.3606540370521,48.42588450645819,9.713795140185724e-06
0.0446,0,DA,293,286,59170168,479,59170168,5917,5917034,9350008.0,59935,-123.3487238661397,48.42709040318609,5.442555619054303e-06
0.0606,0,DA,262,246,59170169,508,59170169,5917,5917034,9350008.0,59935,-123.34715029252523,48.427785539429586,7.340150932701936e-06
0.0458,0,DA,280,273,59170167,493,59170167,5917,5917034,9350008.0,59935,-123.35170895471805,48.428018219722986,5.5619415033647395e-06
0.104,0,DA,565,533,59170162,827,59170162,5917,5917034,9350010.02,59935,-123.35569067191246,48.428215939763255,1.2637523525861344e-05
0.0383,0,DA,203,191,59170810,253,59170810,5917,5917034,9350010.02,59935,-123.36040274042558,48.428436674968445,4.6167314105473565e-06
0.1441,0,DA,271,256,59170181,532,59170181,5917,5917034,9350007.0,59935,-123.32421712378756,48.42906656405205,1.7097150820887574e-05
0.112,0,DA,292,278,59170180,524,59170180,5917,5917034,9350007.0,59935,-123.32727795557886,48.428816767240015,1.3624387072809596e-05
0.0904,0,DA,391,364,59170179,624,59170179,5917,5917034,9350007.0,59935,-123.3318223354769,48.429435611840674,1.0983753174238124e-05
