Model,Train_R2,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean,CV_R2_Std
Linear Regression,0.9932717009742296,0.9945831925013648,1.2468877416971207,0.8930953101394173,0.9927640657604402,0.00196372345111147
Random Forest,0.9989175252250507,0.995313834572407,1.1597502163280182,0.8071777459178863,0.9903513684508665,0.0038864073167691393
Gradient Boosting,0.9985334560136508,0.9973199896483046,0.8770490654392126,0.638715316980282,0.9960355418882807,0.0010674140505537637
