node_id,x,y
N468,-13729606.451134,6177717.082128
N469,-13729500.942521,6177775.458718
N470,-13729048.829541,6177773.613475
N471,-13729322.274738,6177719.967398
N472,-13729323.410197,6177785.875962
N473,-13729368.171764,6177780.189252
N474,-13729330.089367,6177633.54391
N475,-13729446.930304,6177645.973943
N476,-13729362.672581,6177513.605932
N477,-13729181.845201,6177500.085757
N478,-13729099.980847,6177380.267075
N479,-13729407.322829,6177480.912642
N480,-13729540.327357,6177309.832659
N481,-13729433.382722,6177244.883888
N482,-13729566.120083,6177259.510737
N483,-13729390.958864,6177114.786545
N484,-13729595.697672,6177205.616288
N485,-13729660.519011,6177285.728422
N486,-13729748.439145,6177110.190569
N487,-13729779.675394,6177247.366425
N488,-13729707.106218,6177128.708677
N489,-13729320.393439,6176935.444674
N490,-13729932.31668,6176857.818255
N491,-13729558.238663,6177045.10913
N492,-13729896.327088,6176737.589276
N493,-13729883.358368,6176538.514076
N494,-13729244.740713,6176762.228699
N495,-13730045.40615,6177802.684489
N496,-13729925.581851,6177805.922063
N497,-13730029.008789,6177651.341843
N498,-13729792.84449,6177664.862259
N499,-13730028.697095,6177581.760691
N500,-13729876.924101,6177586.088528
N501,-13730028.619171,6177416.667084
N502,-13729850.251951,6177382.263201
N503,-13730026.537497,6177253.992118
N504,-13729877.736733,6177187.047691
N505,-13732298.679623,6176156.059194
N506,-13731981.318887,6176104.653923
N507,-13732021.861446,6175974.054062
N508,-13732301.729777,6175981.668279
N509,-13732956.321779,6177266.706754
N510,-13732855.165758,6177337.66081
N511,-13731882.444915,6176546.782926
N512,-13732197.323227,6176596.530372
N513,-13732419.071653,6176465.621076
N514,-13732442.159315,6175810.903483
N515,-13732420.407487,6177246.628373
N516,-13732659.076475,6177163.379918
N517,-13731935.922799,6176247.331567
N518,-13731194.690837,6177792.837573
N519,-13731240.498808,6177510.737506
N520,-13732981.758283,6175782.610726
N521,-13732966.66336,6175349.191513
N522,-13729313.213332,6176145.476224
N523,-13729841.312996,6175946.783816
N524,-13730759.921434,6175975.446088
N525,-13730589.179599,6176447.372764
N526,-13730271.496036,6176236.765256
N527,-13730616.274763,6176281.12708
N528,-13730123.318662,6176375.906179
N529,-13730145.415581,6175716.985979
N530,-13730581.1312,6175986.012076
N531,-13730278.642748,6175946.431618
N532,-13730635.343792,6176137.425796
N533,-13729852.322494,6176091.73976
N534,-13731593.715552,6176919.946171
N535,-13731647.137776,6176582.105931
N536,-13731098.176839,6176388.535644
N537,-13730468.38682,6175657.852025
N538,-13731224.368614,6176315.727786
N539,-13731137.316772,6176845.221641
N540,-13730264.026498,6176393.399587
N541,-13730287.926793,6175655.990469
N542,-13731273.493905,6176867.244762
N543,-13731347.910984,6176409.148717
N544,-13734716.049158,6176414.331344
N545,-13734927.879017,6176127.664662
N546,-13733023.358376,6176321.933454
N547,-13733164.633942,6176311.736035
N548,-13734429.612976,6176602.954288
N549,-13735215.506317,6177168.261076
N550,-13733841.59003,6176179.388735
N551,-13734029.330351,6175918.389981
N552,-13735028.389385,6176228.194813
N553,-13734832.968019,6176497.471852
N554,-13734618.677999,6176345.095728
N555,-13734189.084952,6176940.661168
N556,-13733355.524605,6176538.077991
N557,-13733822.732508,6176503.090616
N558,-13734354.372132,6176709.813403
N559,-13734891.199244,6177100.294132
N560,-13734523.544362,6177185.873527
N561,-13734302.831208,6176350.261544
N562,-13734506.6238,6176500.474117
N563,-13734372.383626,6176247.465743
N564,-13734579.059392,6176399.806578
N565,-13734747.842004,6175975.764745
N566,-13734534.286693,6176285.068501
N567,-13734433.587082,6176064.083391
N568,-13734545.017892,6176143.396529
N569,-13734464.07749,6176012.796075
N570,-13734349.05106,6175922.750516
N571,-13734366.98463,6175802.132215
N572,-13734237.831757,6175982.490079
N573,-13734101.153686,6176362.907744
N574,-13734287.881,6176106.029199
N575,-13733718.014263,6175236.228416
N576,-13733595.985837,6175451.65785
N577,-13733581.347324,6175166.012945
N578,-13733518.718979,6175393.213316
N579,-13734409.720183,6176196.495988
N580,-13734223.816633,6176457.838703
N581,-13733225.637023,6176161.275211
N582,-13731012.048949,6176141.316835
N583,-13731026.442559,6176066.297239
N584,-13735281.986317,6181011.925282
N585,-13732385.742597,6176997.019633
N586,-13731833.430944,6176816.20421
N587,-13735200.823276,6181494.787578
N588,-13734975.178668,6181852.49218
N589,-13733685.531236,6176882.910901
N590,-13734439.297772,6177314.697128
N591,-13734285.042353,6177186.99737
N592,-13734211.037156,6177314.898416
N593,-13734849.165005,6177184.699362
N594,-13734850.745742,6176710.199178
N595,-13735068.887416,6176867.815049
N596,-13735105.912278,6177327.378306
N597,-13735250.293658,6177409.655458
N598,-13734695.321468,6177354.887806
N599,-13735156.139633,6176731.769083
N600,-13734943.252238,6176579.606815
N601,-13734748.565581,6177298.929551
N602,-13733638.220452,6177016.778731
N603,-13733014.864699,6176574.658903
N604,-13733922.207605,6175840.403855
N605,-13733731.595241,6176100.393924
N606,-13730794.296893,6181015.701077
N607,-13730479.418581,6181178.028302
N608,-13730496.250088,6181210.114851
N609,-13730669.196049,6181539.780937
N610,-13730827.926511,6180791.589536
N611,-13729804.833599,6181410.289317
N612,-13729968.083632,6181731.303254
N613,-13729867.695715,6181538.01879
N614,-13730563.99913,6181339.267791
N615,-13730220.634161,6181517.980693
N616,-13730628.575567,6181464.931989
N617,-13730287.002841,6181649.051511
N618,-13730662.394428,6181549.179057
N619,-13731215.663429,6181531.540807
N620,-13730859.719358,6181232.837303
N621,-13730751.294174,6181039.580925
N622,-13730376.982386,6180966.414492
N623,-13730634.252861,6180830.58838
N624,-13730369.312473,6180951.647031
N625,-13730017.364771,6181132.869038
N626,-13731830.78154,6175189.809335
N627,-13732116.850367,6175236.211646
N628,-13730962.099893,6175525.783201
N629,-13731042.89558,6175030.96676
N630,-13730825.92276,6175503.662922
N631,-13731118.336799,6174781.573787
N632,-13731521.97014,6175297.455705
N633,-13731470.807702,6175610.49149
N634,-13731820.551278,6175346.910771
N635,-13731769.578084,6175659.294312
N636,-13731794.558177,6175502.841169
N637,-13732092.026121,6175551.039633
N638,-13731333.973784,6175750.209178
N639,-13732055.235029,6175868.009185
N640,-13731666.919249,6176285.940646
N641,-13731717.01302,6175974.439804
N642,-13735021.187014,6177445.250427
N643,-13731155.461849,6176040.385191
N644,-13731959.255364,6176173.099313
N645,-13731917.666402,6176400.142022
N646,-13729259.045268,6180701.610955
N647,-13729413.133707,6180703.188341
N648,-13729406.510197,6180990.780858
N649,-13729316.007451,6180988.397918
N650,-13732517.500346,6176827.911809
N651,-13732225.409135,6176550.238066
N652,-13733573.421376,6176517.431062
N653,-13733582.104297,6176270.980026
N654,-13733484.031825,6176280.053672
N655,-13733477.686614,6176527.310049
N656,-13733286.283882,6176545.843664
N657,-13733291.604953,6176298.50289
N658,-13734216.191248,6175833.058102
N659,-13733910.485663,6175615.941963
N660,-13734025.946238,6175456.118769
N661,-13733618.650485,6176017.928147
N662,-13733779.39583,6175581.830445
N663,-13733357.572884,6175353.182814
N664,-13733302.94841,6175597.594846
N665,-13733375.985127,6175651.126947
N666,-13734579.638254,6175854.340678
N667,-13734361.04017,6176158.289837
N668,-13734503.952132,6175962.012208
N669,-13734622.963799,6176043.102179
N670,-13734356.2423,6177405.159968
N671,-13730633.551548,6175344.68034
N672,-13730621.529043,6175469.317066
N673,-13730877.641796,6175162.139121
N674,-13730931.464769,6175959.764845
N675,-13730938.700536,6175918.322896
N676,-13730858.394656,6175923.153027
N677,-13730819.855848,6175806.207583
N678,-13730593.587851,6175788.463814
N679,-13730640.831843,6175743.752362
N680,-13730548.113839,6175632.981003
N681,-13730497.741769,6175682.588953
N682,-13730634.920778,6175327.474175
N683,-13730643.369927,6175154.710103
N684,-13731097.675901,6175547.93708
N685,-13731185.150757,6175005.594481
N686,-13731895.046282,6176466.86223
N687,-13731508.467086,6176401.131584
N688,-13731714.931346,6176620.230118
N689,-13731767.073395,6176304.205383
N690,-13732546.98888,6176753.708046
N691,-13732309.299503,6176480.011775
N692,-13732358.636301,6177141.423126
N693,-13732120.457119,6177098.633545
N694,-13732554.335966,6178471.127069
N695,-13732408.051023,6178461.749118
N696,-13732423.179342,6178287.613006
N697,-13732416.099422,6178371.056977
N698,-13732258.381968,6178357.183144
N699,-13732256.289161,6178379.478589
N700,-13731938.605598,6178350.841786
N701,-13731610.624983,6178382.179546
N702,-13731864.900964,6178403.3175
N703,-13731832.852082,6179518.804799
N704,-13731874.786134,6179041.238644
N705,-13731863.810033,6179182.64
N706,-13731214.69495,6179124.471883
N707,-13731921.184098,6180009.435243
N708,-13732028.240052,6180586.898871
N709,-13731931.893033,6180873.749099
N710,-13731831.961526,6180359.425818
N711,-13731197.740991,6180612.707277
N712,-13731097.653637,6180632.323732
N713,-13730935.817361,6180756.232304
N714,-13731173.239571,6180750.543612
N715,-13730908.555218,6180857.50507
N716,-13730945.958567,6180551.911657
N717,-13731318.478111,6178088.853899
N718,-13730746.652151,6178041.29533
N719,-13728760.077914,6176470.350883
N720,-13729854.604543,6176130.918372
N721,-13729861.985026,6176230.962176
N722,-13729968.406459,6176223.867665
N723,-13729348.401423,6175127.912029
N724,-13729399.831028,6176009.928154
N725,-13729212.380137,6175134.217451
N726,-13729192.5764,6175359.756725
N727,-13729730.917457,6175723.660796
N728,-13729732.01952,6175476.310327
N729,-13729465.64311,6175611.698979
N730,-13729730.872929,6175611.363566
N731,-13729476.285254,6175888.973195
N732,-13728894.596387,6175869.417965
N733,-13729467.246111,6175480.184295
N734,-13729452.908161,6175874.81829
N735,-13728892.180754,6176263.566814
N736,-13728894.67431,6175710.093146
N737,-13728788.430988,6176018.582235
N738,-13728893.327344,6176017.123116
N739,-13728505.378919,6175803.926718
N740,-13728593.076414,6175944.536456
N741,-13728307.463996,6176818.552438
N742,-13728098.840139,6176606.694586
N743,-13728506.024572,6177037.86298
N744,-13728627.874887,6177176.597632
N745,-13728296.721665,6177147.897774
N746,-13728925.097927,6176925.447801
N747,-13728918.307438,6176890.156919
N748,-13728649.02559,6176698.07242
N749,-13728603.117432,6176826.720921
N750,-13728882.373507,6177317.380973
N751,-13728981.703888,6177138.62192
N752,-13728766.879535,6177718.390565
N753,-13728754.667787,6177366.361306
N754,-13728897.613145,6177325.767997
N755,-13728904.047411,6177718.675737
N756,-13731615.06663,6181733.417877
N757,-13731267.460388,6181805.969929
N758,-13731638.577307,6181869.224812
N759,-13733135.368048,6181123.102182
N760,-13733333.038068,6181088.213456
N761,-13734091.847377,6180704.010595
N762,-13733883.835776,6180744.75424
N763,-13733805.656098,6180817.113286
N764,-13734014.547123,6180977.053792
N765,-13733790.383064,6180762.223054
N766,-13733761.028114,6180613.009327
N767,-13734002.468958,6180563.003511
N768,-13733400.820506,6180699.748297
N769,-13734388.157598,6181487.017395
N770,-13734467.083116,6181472.651806
N771,-13733454.921778,6179007.36508
N772,-13733451.15918,6178863.064196
N773,-13733489.297237,6178366.779069
N774,-13733570.994611,6178430.192975
N775,-13733448.632227,6178438.279121
