OBJECTID,Label,Direction,SHAPE_Length,Year,PDF
1551,483 (23),one,38.3579254787473,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EmvkKksyCeBJq9kRc9VD4xABpQlpVtCIERyAf4PB0GrV6Q?e=oq0XEU
1552,669 (23),one,45.7910566663215,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EpERXoGS7llOm0eW2Z8BHggB-vr0KU4wTeyjDPfnmTOetg?e=sb6gcc
1553,907 (23),one,31.0768716510487,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EtzkPhc0C4RAgKvxn8ApcGoBDpvbnKyGGJQ8OgRdOccoNg?e=Jy6za5
1554,697 (23),one,36.3229475400064,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EtzkPhc0C4RAgKvxn8ApcGoBDpvbnKyGGJQ8OgRdOccoNg?e=Jy6za5
1555,617 (23),one,52.4934999998659,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EukhljuNhXJMgsjrM4ZJDiABpZ-LYSCmn956fw8N9iOCLg?e=evcM30
1556,649 (23),one,51.6485346660745,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EukhljuNhXJMgsjrM4ZJDiABpZ-LYSCmn956fw8N9iOCLg?e=evcM30
1557,138 (23),one,37.8640993261174,2023,
1558,403 (23),one,46.7933386191973,2023,
1559,330 (23),both,43.9228651340532,2023,
1560,1060 (22),one,64.7576458805689,2022,
1561,919 (22),one,63.8046056352334,2022,
1562,583 (23),one,23.0318699589642,2023,
1563,548 (23),one,28.4138450729103,2023,
1564,1020 (23),one,28.6189338802648,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/EguAJzWs4z9OjU-PREhNAJcBLEptNYFkFhFqj5883q5e6w?e=pKe58X
1565,811 (23),one,55.2673639281701,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Ejx_HKiZdIVIljd0vXXyf6oBdKzB9SeAPC8jtYo675zX6Q?e=woiyWr
1566,706 (23),one,50.5312435187119,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/Ejx_HKiZdIVIljd0vXXyf6oBdKzB9SeAPC8jtYo675zX6Q?e=woiyWr
1567,97 (23),one,7.5148999998346,2023,
1568,97 (23),one,37.1554746140909,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/ElKtgzQtsABDo_dRGVQ5beEBJAaGuGHxFJWTUd3Lp2_5jg?e=AdRvx1
1569,126 (23),one,48.0831237074708,2023,https://cityvictoria.sharepoint.com/:f:/s/TRAN-Transportation-Operations/ElKtgzQtsABDo_dRGVQ5beEBJAaGuGHxFJWTUd3Lp2_5jg?e=AdRvx1
1570,148 (23),one,78.6395571842285,2023,
1571,313 (23),one,73.7476155207868,2023,
